Posting_Name,Department,Application_Date_time,Referral_Source,Clean_Date,Clean_Time,Referral_Count
Communication Faculty  - Digital & Social Media - Anticipated for Fall 2019,Communication,"January 25, 2019 at 12:28 PM",BYU-Idaho Employment Website,January 25 2019,12:28 PM,1
Marketing Full-time Faculty - Digital Advertising - Anticipated for Fall 2019,Marketing,"January 25, 2019 at 05:00 PM",Referral by BYU-Idaho employee,January 25 2019,5:00 PM,1
Marketing Full-time Faculty - Digital Advertising - Anticipated for Fall 2019,Marketing,"January 28, 2019 at 11:28 AM",BYU-Idaho Employment Website,January 28 2019,11:28 AM,1
Marketing Full-time Faculty - Digital Advertising - Anticipated for Fall 2019,Marketing,"January 28, 2019 at 12:04 PM",Referral by BYU-Idaho employee,January 28 2019,12:04 PM,1
Marketing Full-time Faculty - Digital Advertising - Anticipated for Fall 2019,Marketing,"January 28, 2019 at 12:44 PM",BYU-Idaho Employment Website,January 28 2019,12:44 PM,1
Marketing Full-time Faculty - Digital Advertising - Anticipated for Fall 2019,Marketing,"January 28, 2019 at 03:30 PM",BYU-Idaho Employment Website,January 28 2019,3:30 PM,1
Marketing Full-time Faculty - Digital Advertising - Anticipated for Fall 2019,Marketing,"January 28, 2019 at 10:05 PM",Referral by BYU-Idaho employee,January 28 2019,10:05 PM,1
Marketing Full-time Faculty - Digital Advertising - Anticipated for Fall 2019,Marketing,"January 29, 2019 at 12:38 PM",BYU-Idaho Employment Website,January 29 2019,12:38 PM,1
Mathematics - Full-time Faculty - Data Science/Statistics  - Anticipated for Winter 2020,Mathematics,"April 09, 2019 at 03:58 PM",Referral by BYU-Idaho employee,April 09 2019,3:58 PM,1
Mathematics - Full-time Faculty - Data Science/Statistics  - Anticipated for Winter 2020,Mathematics,"April 09, 2019 at 04:51 PM",BYU-Idaho Employment Website,April 09 2019,4:51 PM,1
Mathematics - Full-time Faculty - Data Science/Statistics  - Anticipated for Winter 2020,Mathematics,"April 10, 2019 at 06:07 PM",BYU-Idaho Employment Website,April 10 2019,6:07 PM,1
Mechanical Engineering Visiting Faculty - Anticipated for Winter 2020,Mechanical Engineering,"April 13, 2019 at 04:19 PM",BYU-Idaho Employment Website,April 13 2019,4:19 PM,1
Mechanical Engineering Visiting Faculty - Anticipated for Winter 2020,Mechanical Engineering,"April 23, 2019 at 09:15 PM",Referral by BYU-Idaho employee,April 23 2019,9:15 PM,1
Mathematics - Full-time Faculty - Data Science/Statistics  - Anticipated for Winter 2020,Mathematics,"April 24, 2019 at 06:55 AM",Other,April 24 2019,6:55 AM,1
Mechanical Engineering Visiting Faculty - Anticipated for Winter 2020,Mechanical Engineering,"April 26, 2019 at 10:52 PM",BYU-Idaho Employment Website,April 26 2019,10:52 PM,1
Mathematics - Full-time Faculty - Data Science/Statistics  - Anticipated for Winter 2020,Mathematics,"April 29, 2019 at 09:07 AM",LinkedIn,April 29 2019,9:07 AM,1
Mechanical Engineering Visiting Faculty - Anticipated for Winter 2020,Mechanical Engineering,"May 09, 2019 at 09:01 AM",LinkedIn,May 09 2019,9:01 AM,1
Mechanical Engineering Visiting Faculty - Anticipated for Winter 2020,Mechanical Engineering,"May 09, 2019 at 12:54 PM",LinkedIn,May 09 2019,12:54 PM,1
Mathematics - Full-time Faculty - Data Science/Statistics  - Anticipated for Winter 2020,Mathematics,"May 11, 2019 at 09:34 PM",Referral by BYU-Idaho employee,May 11 2019,9:34 PM,1
Mathematics - Full-time Faculty - Data Science/Statistics  - Anticipated for Winter 2020,Mathematics,"May 12, 2019 at 08:47 PM",Referral by BYU-Idaho employee,May 12 2019,8:47 PM,1
Mathematics - Full-time Faculty - Data Science/Statistics  - Anticipated for Winter 2020,Mathematics,"May 13, 2019 at 11:08 PM",Referral by someone other than a BYU-Idaho employee,May 13 2019,11:08 PM,1
Mathematics - Full-time Faculty - Data Science/Statistics  - Anticipated for Winter 2020,Mathematics,"May 14, 2019 at 08:35 AM",BYU-Idaho Employment Website,May 14 2019,8:35 AM,1
Mathematics - Full-time Faculty - Data Science/Statistics  - Anticipated for Winter 2020,Mathematics,"May 14, 2019 at 10:48 AM",Referral by BYU-Idaho employee,May 14 2019,10:48 AM,1
Mathematics - Full-time Faculty - Data Science/Statistics  - Anticipated for Winter 2020,Mathematics,"May 14, 2019 at 10:16 PM",Other,May 14 2019,10:16 PM,1
Psychology Faculty (Cognition) - Anticipated for Fall 2020,Psychology,"July 05, 2019 at 05:02 PM",BYU-Idaho Employment Website,July 05 2019,5:02 PM,1
Religious Education - Full-time Faculty - Anticipated Fall 2020,Religious Education,"July 09, 2019 at 12:17 PM",BYU-Idaho Employment Website,July 09 2019,12:17 PM,1
Religious Education - Full-time Faculty - Anticipated Fall 2020,Religious Education,"July 09, 2019 at 04:10 PM",BYU-Idaho Employment Website,July 09 2019,4:10 PM,1
Religious Education - Full-time Faculty - Anticipated Fall 2020,Religious Education,"July 10, 2019 at 03:11 PM",BYU-Idaho Employment Website,July 10 2019,3:11 PM,1
Religious Education - Full-time Faculty - Anticipated Fall 2020,Religious Education,"July 10, 2019 at 03:32 PM",BYU-Idaho Employment Website,July 10 2019,3:32 PM,1
Religious Education - Full-time Faculty - Anticipated Fall 2020,Religious Education,"July 10, 2019 at 10:46 PM",BYU-Idaho Employment Website,July 10 2019,10:46 PM,1
Religious Education - Full-time Faculty - Anticipated Fall 2020,Religious Education,"July 11, 2019 at 08:42 AM",BYU-Idaho Employment Website,July 11 2019,8:42 AM,1
Religious Education - Full-time Faculty - Anticipated Fall 2020,Religious Education,"July 11, 2019 at 04:04 PM",Referral by someone other than a BYU-Idaho employee,July 11 2019,4:04 PM,1
Religious Education - Full-time Faculty - Anticipated Fall 2020,Religious Education,"July 13, 2019 at 01:26 PM",Other,July 13 2019,1:26 PM,1
Religious Education - Full-time Faculty - Anticipated Fall 2020,Religious Education,"July 14, 2019 at 11:48 AM",BYU-Idaho Employment Website,July 14 2019,11:48 AM,1
Religious Education - Full-time Faculty - Anticipated Fall 2020,Religious Education,"July 15, 2019 at 11:58 AM",BYU-Idaho Employment Website,July 15 2019,11:58 AM,1
Religious Education - Full-time Faculty - Anticipated Fall 2020,Religious Education,"July 15, 2019 at 02:15 PM",Referral by BYU-Idaho employee,July 15 2019,2:15 PM,1
Religious Education - Full-time Faculty - Anticipated Fall 2020,Religious Education,"July 16, 2019 at 12:51 PM",BYU-Idaho Employment Website,July 16 2019,12:51 PM,1
Computer Science Full-Time Faculty - Anticipated for Fall 2020,Computer Science & Elec Engineering,"July 17, 2019 at 10:18 AM",BYU-Idaho Employment Website,July 17 2019,10:18 AM,1
