Official Title,Posting Number,Department,Active Applications,Workflow State,Last Status Update,All Submitted Applications,Incomplete Applications,Pay Rate,FTE,Accept References?,Created Date,Closing Date,Anticipated Start Date
"Full-time Faculty - Music (Bassoon, Flute, or Percussion)",0600892,Music,0,Filled,"May 27, 2016 at 09:35 AM",15,1,Dependent on education and experience.,,,"January 27, 2014 at 06:22 PM",02.11.2013,2014-08-25
Pathway Support Specialist - Curriculum,0600923,Pathway - International,0,Filled,"December 05, 2013 at 11:31 AM",14,0,Salary information available to applicant inquiry,1.0,,"January 27, 2014 at 06:22 PM",14.10.2013,2013-11-18
Chief Information Officer,0600835,Information Technology,0,Filled,"November 19, 2013 at 01:05 PM",48,1,Available to applicant inquiry,1.0,,"January 27, 2014 at 06:22 PM",17.08.2013,2014-01-06
Full-time Faculty - Accounting,0600898,Accounting,0,Filled,"May 27, 2016 at 09:35 AM",8,1,Dependent on education and experience.,,,"January 27, 2014 at 06:22 PM",02.11.2013,2014-08-25
Full-time Faculty - Teacher Education (Special Education K-12 Generalist),0600920,Teacher Education,0,Filled,"May 27, 2016 at 09:35 AM",14,1,Dependent on Education and Experience,,,"January 27, 2014 at 06:22 PM",02.11.2013,2014-08-25
Application Systems Engineer (2 Openings),0600985,Information Technology,0,Filled,"March 24, 2014 at 10:10 AM",26,7,Available to applicant inquiry,1.0,No,"January 30, 2014 at 02:39 PM",20.02.2014,03/17/2014
Library Assistant ,0600986,McKay Library,24,Filled,"March 24, 2014 at 09:39 AM",26,15,Available Upon Request,.75,Yes,"January 31, 2014 at 08:09 AM",15.02.2014,03/03/2014
Librarian,0600987,McKay Library,8,Filled,"March 31, 2014 at 04:28 PM",11,5,Available Upon Request,1,No,"January 31, 2014 at 09:31 AM",28.02.2014,03/17/2014
Application Systems Engineer (SharePoint support),0601001,Information Technology,0,Filled,"July 30, 2014 at 04:19 PM",10,1,Available upon applicant inquiry,1.0,No,"February 10, 2014 at 08:44 AM",15.04.2014,05/15/2014
Full-time Faculty - Web Design and Development,0600990,Interdisciplinary Studies,0,Filled,"May 27, 2016 at 09:36 AM",10,1,Dependent on Education and Experience,,Yes,"February 14, 2014 at 11:28 AM",16.03.2014,08-25-2014
Environmental Health and Safety Specialist,0600992,University Security & Safety,17,Filled,"April 28, 2014 at 01:34 PM",21,4,,1,Yes,"February 14, 2014 at 12:09 PM",12.03.2014,As soon as possible
Office Assistant - Invitation Only,0600993,Human Resources,1,Closed,"March 01, 2014 at 12:00 AM",1,0,Available to applicant upon request,1,No,"February 24, 2014 at 11:32 AM",28.02.2014,2014-03-03
Video Producer/Project Coordinator ,0600995,A/V Production Services,16,Filled,"May 13, 2014 at 01:03 PM",23,1,Available Upon Request ,1,Yes,"February 27, 2014 at 12:22 PM",24.03.2014,4/7/2014
Network Engineer,0600996,Information Technology,0,Filled,"May 19, 2014 at 09:46 AM",27,6,,1,No,"March 10, 2014 at 03:13 PM",01.04.2014,04/15/2014
Online Delivery Specialist,0600998,Online Learning Administration,0,Filled,"May 19, 2014 at 09:47 AM",42,12,General information available to applicants.,1,No,"March 17, 2014 at 07:48 AM",07.04.2014,05/01/2014
Temporary Faculty - Computer Science & Electrical Engineering,0600999,Computer Science & Elec Engineering,1,Closed,"April 16, 2014 at 12:00 AM",3,2,Dependent on education and experience.,,Yes,"March 18, 2014 at 09:58 AM",15.04.2014,08-25-2014
Project Coordinator,0601000,Online Learning Administration,31,Filled,"May 05, 2014 at 03:21 PM",36,8,Available Upon Request,1,No,"March 20, 2014 at 10:23 AM",03.04.2014,05/1/2014
Deputy Chief Information Officer,0601014,Information Technology,0,Filled,"July 30, 2014 at 04:20 PM",26,6,Available upon applicant inquiry,1,No,"March 24, 2014 at 09:00 AM",25.04.2014,06/01/2014
Instructor Development Manager,0601049,Online Learning Administration,12,Filled,"May 13, 2014 at 12:50 PM",15,4,Available Upon Request,1,No,"March 26, 2014 at 03:28 PM",18.04.2014,05/16/2014
Campus Housing Operations Manager ,0601096,Housing & Student Living,40,Filled,"May 30, 2014 at 02:24 PM",46,11,Available Upon Request,1,No,"April 03, 2014 at 08:19 AM",17.04.2014,5/1/2014
Office Assistant - Dance Department (Part-Time),0601097,Dance,0,Filled,"April 21, 2014 at 03:11 PM",15,10,Available Upon Request,.4,No,"April 03, 2014 at 11:39 AM",12.04.2014,04/21/2014
Local Liaison & Training Officer,0601157,Teacher Education,14,Filled,"June 19, 2014 at 12:40 PM",18,3,Available Upon Request,1,No,"April 17, 2014 at 11:26 AM",19.05.2014,7/1/2014
Chemistry Laboratory Supervisor,0601126,Chemistry,0,Filled,"July 30, 2014 at 04:21 PM",7,1,Available to applicant inquiry,1,No,"April 21, 2014 at 04:00 PM",05.05.2014,Position available immediately; start date to be arranged with final candidate
Curriculum Designer (3 Openings),0601164,Curriculum Development,0,Filled,"September 16, 2014 at 12:57 PM",47,6,Available to applicant inquiry.,1,No,"April 29, 2014 at 04:24 PM",11.06.2014,Arranged based on candidate availability.
Human Resources Assistant Part-Time (2 Positions),0601158,Online Learning Administration,0,Filled,"July 30, 2014 at 04:21 PM",37,16,,.5,No,"May 05, 2014 at 08:26 AM",20.05.2014,06-15-2014 
Academic Discovery Coordinator (2 openings),0601159,Academic Discovery Center,0,Filled,"July 30, 2014 at 04:19 PM",53,10,Available upon applicant inquiry,3,No,"May 05, 2014 at 01:54 PM",27.05.2014,CEHD - 06/16/2014  CALS - 08/18/2014
Radio News and Programming Coordinator,0601161,University Relations,0,Filled,"June 25, 2014 at 03:13 PM",6,1,Available Upon request,1,No,"May 07, 2014 at 03:02 PM",07.06.2014,06/30/2014
Internal Auditor,0601160,Internal Auditing,0,Filled,"July 30, 2014 at 04:23 PM",9,3,Available upon applicant inquiry,1,No,"May 08, 2014 at 08:31 AM",29.05.2014,07/01/2014
Visual Media / Professional Communication,0601162,Communication,1,Closed,"May 16, 2014 at 03:56 PM",2,1,Dependent on education and experience.,,No,"May 08, 2014 at 02:19 PM",15.05.2014,08/18/2014
Online Learning Evaluator,0601165,Course Improvement,0,Filled,"October 28, 2014 at 10:36 AM",36,7,Available to applicant inquiry.,1,No,"May 13, 2014 at 04:13 PM",17.09.2014,Will be arranged based on candidate availability.
Academic Advisor for Online Degrees - PT - (CALS),0601163,Academic Discovery Center,0,Filled,"July 30, 2014 at 04:23 PM",14,7,Available Upon Request,.5,No,"May 15, 2014 at 09:49 AM",06.06.2014,07/01/2014
Millwright/Welder,0601167,Mechanical / Plumbing,0,Filled,"July 30, 2014 at 04:24 PM",13,4,Available upon applicant inquiry,1,No,"May 15, 2014 at 04:48 PM",11.06.2014,07/01/2014
Counselor,0601172,Counseling,0,Filled,"July 30, 2014 at 04:24 PM",41,9,Available Upon Request ,1,No,"May 21, 2014 at 03:26 PM",28.06.2014,09/01/2014
Custodial Supervisor (2- Openings),0601171,Custodial Services,0,Filled,"July 30, 2014 at 04:25 PM",15,3,Available upon applicant inquiry,2,No,"May 22, 2014 at 03:19 PM",06.06.2014,06/16/2014
Developer / Systems Administrator,0601169,University Store,0,Filled,"July 30, 2014 at 04:25 PM",9,0,Available upon applicant inquiry,1,No,"May 23, 2014 at 08:13 AM",13.06.2014,06/23/2014
Senior Software Engineer,0601170,Information Technology,0,Filled,"July 30, 2014 at 04:26 PM",9,0,Available upon applicant inquiry,1,No,"May 23, 2014 at 09:07 AM",13.06.2014,07/01/2014
Home & Family (Child Development) Temporary Faculty - Anticipated for Winter 2015,0601178,Home & Family,0,Filled,"November 21, 2014 at 08:09 AM",4,2,Dependent on Education and Experience,,Yes,"June 10, 2014 at 01:50 PM",12.09.2014,01/01/2015
Security Patrol Officer (.75 FTE),0601182,University Security & Safety,0,Filled,"September 16, 2014 at 12:59 PM",26,7,Available to applicants upon request.,.75,No,"June 12, 2014 at 01:03 PM",30.06.2014,As soon as possible.
Pathway Support Specialist - Enrollment,0601180,Pathway - International,0,Filled,"July 30, 2014 at 04:26 PM",43,9,Available upon applicant inquiry,1,No,"June 12, 2014 at 01:47 PM",27.06.2014,07/14/2014
Plumber Millwright / Pipefitter (2-Openings),0601183,Mechanical / Plumbing,0,Filled,"July 30, 2014 at 04:27 PM",9,1,Available upon applicant inquiry,2 ,No,"June 16, 2014 at 04:01 PM",07.07.2014,08/04/2014
Office Assistant II (.83 FTE),0601184,Foundations & Interdisciplinary Studies,0,Filled,"September 16, 2014 at 01:00 PM",11,2,Available to applicants upon request.,.83,No,"June 17, 2014 at 08:40 AM",25.06.2014,9/24/2014
Quality and Editing Coordinator,0601191,Course Improvement,0,Filled,"August 22, 2014 at 05:10 PM",24,5,Available to applicants upon request.,1,No,"June 17, 2014 at 01:57 PM",14.07.2014,8/25/2014
Disability Services Administrator,0601195,Academic Learning,0,Filled,"September 16, 2014 at 01:00 PM",20,0,Available to applicants upon request.,1,No,"June 17, 2014 at 02:40 PM",18.07.2014,8/18/2014
Systems Coordinator,0601185,Curriculum Development,0,Filled,"September 12, 2014 at 08:05 AM",6,1,Available upon applicant inquiry,1,No,"June 20, 2014 at 02:42 PM",27.07.2014,08/04/2014
Transfer Evaluation Coordinator,0601198,Student Records & Registration,0,Filled,"September 24, 2014 at 10:09 AM",34,8,Available to applicants upon request.,1.0,No,"June 23, 2014 at 03:35 PM",19.07.2014,8/18/2014
Technology Support Coordinator (TSC),0601190,Information Technology,0,Filled,"August 22, 2014 at 05:11 PM",22,5,Available upon applicant inquiry,1,No,"June 25, 2014 at 08:41 AM",16.07.2014,08/04/2014
Online Adjunct Faculty--HFED 340: Money Management,0601193,Online Learning Administration,3,Invitation Only,"December 28, 2017 at 01:28 PM",58,21,,,No,"June 27, 2014 at 05:04 PM",19.11.2014,n/a
Academic Discovery Coordinator (CBC),0601196,Academic Discovery Center,0,Filled,"August 01, 2014 at 09:10 AM",30,7,Available upon applicant inquiry,1,No,"July 01, 2014 at 10:54 AM",15.07.2014,08/01/2014
Political Science (American Politics) Full-time Faculty - Anticipated for Fall 2015,0601205,History/Geography/Poli Science,0,Filled,"February 13, 2015 at 11:10 AM",18,5,Dependent on education and experience.,,Yes,"July 07, 2014 at 12:59 PM",12.09.2014,08/24/2015
Purchasing & Travel Director,0601200,Purchasing & Travel,0,Filled,"September 12, 2014 at 08:06 AM",11,4,Available upon applicant inquiry,1,No,"July 07, 2014 at 03:34 PM",05.08.2014,09/01/2014
Outdoor Learning Center Manager,0601202,Student Activities,0,Filled,"September 24, 2014 at 10:12 AM",16,5,Available to applicants upon request.,1.0,No,"July 08, 2014 at 02:10 PM",19.07.2014,9/1/2014
Outdoor Learning Center Advisor (residency at Badger Creek),0601203,Student Activities,0,Filled,"September 24, 2014 at 10:11 AM",20,6,Available to applicants upon request.,1.0,No,"July 08, 2014 at 02:23 PM",19.07.2014,9/1/2014
Data Analyst,0601204,Academic Discovery Center,0,Filled,"October 28, 2014 at 10:38 AM",3,0,Available to applicants upon request.,1.0,No,"July 08, 2014 at 03:37 PM",05.09.2014,09/01/2014
Application Systems Engineer ,0601201,Information Technology,0,Filled,"August 22, 2014 at 05:09 PM",8,1,Available to applicant inquiry,1.0,No,"July 08, 2014 at 05:25 PM",04.08.2014,09/01/2014
Course Improvement Coordinator,0601207,Course Improvement,0,Filled,"September 30, 2014 at 08:26 AM",27,10,Available to applicants upon request.,1.0,No,"July 14, 2014 at 04:31 PM",15.09.2014,09/01/2014
Mathematics (Statistics) Full-time Faculty - Anticipated for Fall 2015,0601218,Mathematics,0,Filled,"February 13, 2015 at 11:35 AM",11,3,Dependent on education and experience.,,Yes,"July 16, 2014 at 12:26 PM",20.09.2014,08/24/2015
Animal & Food Science (Nutrition) Full-time Faculty - Anticipated for Fall 2015,0601210,Animal & Food Sciences,0,Filled,"February 13, 2015 at 11:12 AM",3,1,Dependent on education and experience.,,Yes,"July 16, 2014 at 01:33 PM",27.09.2014,08/24/2015
Home and Family (Marriage and Family Studies) Full-time Faculty - Anticipated Fall 2015,0601275,Home & Family,0,Filled,"April 15, 2015 at 09:17 AM",29,7,Will be discussed during the formal interview process and is based on your education and experience.,,Yes,"July 16, 2014 at 01:40 PM",15.11.2014,08/24///2015
Economics Full-time Faculty - Anticipated for Fall 2015,0601222,Economics,0,Filled,"April 15, 2015 at 09:09 AM",13,3,Dependent on education and experience.,,Yes,"July 16, 2014 at 02:02 PM",15.11.2014,08/24/2015
Applied Plant Science (Agriculture Technology) Full-time Faculty - Anticipated for Fall 2015,0601211,Applied Plant Science,0,Filled,"February 13, 2015 at 11:33 AM",4,0,Dependent on education and experience.,,Yes,"July 21, 2014 at 02:04 PM",27.09.2014,08/24/2015
Biology Full-time Faculty - Anticipated for Fall 2015,0601220,Biology,0,Filled,"April 15, 2015 at 08:50 AM",18,5,Dependent on education and experience.,,Yes,"July 21, 2014 at 02:10 PM",15.11.2014,08/24/2015
Architectural Drafting Specialist,0601215,Facilities Planning & Construction,0,Filled,"October 08, 2014 at 09:12 AM",22,6,Available to applicants upon request.,1,No,"July 21, 2014 at 02:40 PM",20.08.2014,Will be coordinated with new hire
Business Management (Writing & Marketing) Full-time Faculty - Anticipated for Fall 2015,0601213,Management,0,Filled,"February 13, 2015 at 11:43 AM",12,4,Dependent on education and experience.,,Yes,"July 23, 2014 at 09:08 AM",01.10.2014,08/24/2015
Business Management (Supply Chain Management) Full-time Faculty- Anticipated for Fall 2015,0601214,Management,0,Filled,"April 15, 2015 at 08:59 AM",7,1,Will be discussed during the formal interview process and is based on your education and experience.,,Yes,"July 23, 2014 at 09:15 AM",15.11.2014,08/24/2015
Student Honor Administrator,0601223,Student Honor Office,0,Filled,"October 13, 2014 at 02:23 PM",35,5,General information available to applicants,1,No,"July 25, 2014 at 02:54 PM",28.08.2014,10/01/2014
 Geology Temporary Faculty - Anticipated for Fall 2015,0601267,Geology,0,Filled,"May 22, 2015 at 04:14 PM",5,1,Will be discussed during the formal interview process and is based on your education and experience.,,Yes,"July 28, 2014 at 08:22 AM",15.11.2014,08/24/2015
Nursing Full-time Faculty - Anticipated for Fall 2015,0601219,Nursing,0,Filled,"February 13, 2015 at 11:30 AM",11,4,Dependent on Education and Experience,,Yes,"July 28, 2014 at 10:13 AM",12.09.2014,08/24/2015
Home and Family (Family and Consumer Science) Full-time Faculty - Anticipated for Fall 2015,0601221,Home & Family,0,Filled,"April 15, 2015 at 09:15 AM",10,2,Dependent on education and experience.,,Yes,"July 28, 2014 at 11:14 AM",27.09.2014,08/24/2015
Accounting Full-time Faculty - Anticipated for Fall 2015,0601224,Accounting,0,Filled,"April 15, 2015 at 08:47 AM",18,2,Dependent on education and experience.,,Yes,"July 29, 2014 at 10:47 AM",27.09.2014,08/24/2015
Biology (Wildlife Biologist) Full-time Faculty - Anticipated for Fall 2015,0601298,Biology,0,Filled,"May 14, 2015 at 10:59 AM",6,1,Will be discussed during the formal interview process and is based on your education and experience.,1.0,Yes,"July 29, 2014 at 10:50 AM",15.11.2014,08/24/2015
Chemistry Full-time Faculty - Anticipated for Fall 2015,0601270,Chemistry,0,Filled,"May 22, 2015 at 02:58 PM",16,2,Will be discussed during the formal interview process and is based on your education and experience.,,Yes,"July 29, 2014 at 10:53 AM",15.11.2014,08/24/2015
Psychology (Health Psychology) Full-time Faculty - Anticipated for Fall 2015,0601274,Psychology,0,Filled,"May 15, 2015 at 08:29 AM",4,1,Will be discussed during the formal interview process and is based on your education and experience.,,Yes,"July 29, 2014 at 11:04 AM",15.11.2014,08/24/2015
Teacher Education Full-time Faculty - Anticipated for Fall 2015,0601279,Teacher Education,0,Filled,"April 15, 2015 at 09:40 AM",50,9,Will be discussed during the formal interview process and is based on your education and experience.,,Yes,"July 29, 2014 at 11:11 AM",15.11.2014,08/24/2015
Computer Science and Electrical Engineering Temporary Faculty- Anticipated for Fall 2015,0601268,Computer Science & Elec Engineering,0,Filled,"May 14, 2015 at 11:19 AM",3,0,Will be discussed during the formal interview process and is based on your education and experience.,,Yes,"July 29, 2014 at 11:19 AM",15.11.2014,08/24/2015
Physics Temporary Faculty- Anticipated for Fall 2015,0601269,Physics,0,Filled,"April 15, 2015 at 09:37 AM",8,1,Will be discussed during the formal interview process and is based on your education and experience.,,Yes,"July 29, 2014 at 11:23 AM",15.11.2014,08/01/2015
Retail Operations Supervisor (Chick-fil-A),0601227,University Food Services,0,Filled,"October 10, 2014 at 01:27 PM",18,7,Available to applicants upon request.,1.0,No,"August 06, 2014 at 09:58 AM",28.08.2014,09/04/2014
Pathway System Coordinator,0601226,Pathway,0,Filled,"October 10, 2014 at 01:29 PM",8,2,Available upon applicant inquiry,1,No,"August 06, 2014 at 10:40 AM",27.08.2014,10/01/2014
Office Assistant - Missionary Support,0601230,Pathway,0,Filled,"October 01, 2014 at 10:53 AM",44,8,Available to applicants upon request.,1.0,No,"August 11, 2014 at 01:43 PM",27.08.2014,09/01/2014
Institutional Events Specialist,0601232,University Relations,0,Filled,"October 01, 2014 at 09:48 AM",45,9,Available upon request from applicant.,.75,No,"August 18, 2014 at 01:10 PM",08.09.2014,09/22/2014
Media Systems Engineer,0601233,A/V Production Services,0,Filled,"October 08, 2014 at 09:12 AM",7,2,Available upon applicant inquiry.,1.0,No,"August 18, 2014 at 01:25 PM",16.09.2014,"October 20, 2014"
Religious Education Full-time Faculty - Anticipated for Fall 2015,0601236,Religious Education,0,Filled,"February 13, 2015 at 11:07 AM",44,5,Dependent on education and experience.,,Yes,"August 22, 2014 at 02:30 PM",01.10.2014,08/24/2015
Financial Aid Advisor,0601254,Student Financial Aid ,0,Filled,"October 22, 2014 at 08:16 AM",59,14,General information available to applicants.,1,No,"August 27, 2014 at 11:32 AM",17.09.2014,10/20/2014
Hiring Coordinator,0601255,Online Instruction,0,Filled,"October 01, 2014 at 10:53 AM",29,12,Available upon request from applicant.,1.0,No,"August 28, 2014 at 08:38 AM",09.09.2014,09/15/2014
Applied Mathematics Full-time Faculty - Anticipated for Fall 2015,0601271,Mathematics,0,Filled,"April 15, 2015 at 10:39 AM",16,5,Will be discussed during the formal interview process and is based on your education and experience.,1,Yes,"August 29, 2014 at 09:42 AM",15.11.2014,08/24/2015
Building Custodian,0601260,Custodial Services,0,Filled,"October 20, 2014 at 09:16 AM",58,19,General information available to applicants.,1.0,No,"September 15, 2014 at 11:10 AM",27.09.2014,10/15/2014
Lead Building Custodian,0601259,Custodial Services,0,Filled,"October 20, 2014 at 09:15 AM",21,2,General information available to applicants,1.0,No,"September 15, 2014 at 12:00 PM",27.09.2014,10/15/2014
Physics Full-time Faculty - Anticipated for Fall 2015,0601272,Physics,0,Filled,"April 15, 2015 at 09:34 AM",17,2,Will be discussed during the formal interview process and is based on your education and experience.,,Yes,"September 19, 2014 at 05:48 PM",15.11.2014,8/1/2015
Computer Science & Electrical Engineering Full-time Faculty - Anticipated for Fall 2015,0601277,Computer Science & Elec Engineering,0,Filled,"May 22, 2015 at 03:05 PM",10,2,Will be discussed during the formal interview process and is based on your education and experience.,1.0,Yes,"September 22, 2014 at 09:53 AM",15.11.2014,8/1/2015
Chemistry Temporary Faculty (2 Positions) - Anticipated for Fall 2015,0601278,Chemistry,0,Filled,"May 22, 2015 at 03:00 PM",10,2,Will be discussed during the formal interview process and is based on your education and experience.,1.0 ,Yes,"September 22, 2014 at 02:23 PM",06.12.2014,8/20/2015
OLC Facilities & Maintenance Specialist,0601288,Outdoor Learning Center,0,Filled,"December 02, 2014 at 08:22 AM",20,3,Available Upon Applicant Request,1.0,No,"October 01, 2014 at 09:32 AM",18.10.2014,11/1/2014
Music (String Education) Full-time Faculty - Anticipated for Fall 2015,0601293,Music,0,Filled,"April 15, 2015 at 09:30 AM",12,1,Will be discussed during the formal interview process and is based on your education and experience.,1.0,Yes,"October 03, 2014 at 09:38 AM",29.11.2014,9/1/2015
Buyer,0601297,Purchasing & Travel,0,Filled,"December 08, 2014 at 08:47 AM",18,4,Available Upon Request,1,No,"October 07, 2014 at 10:05 AM",29.10.2014,
Music (Instrumental) Temporary Faculty - Anticipated for Fall 2015,0601302,Music,0,Filled,"April 15, 2015 at 09:32 AM",8,2,Will be discussed during the formal interview process and is based on your education and experience.,1.0,Yes,"October 13, 2014 at 02:49 PM",29.11.2014,9/1/2014
Mathematics Academic Support Full-time Faculty - Anticipated for Fall 2015,0601304,Mathematics,0,Filled,"April 15, 2015 at 08:46 AM",8,2,Will be discussed during the formal interview process and is based on your education and experience.,1.0,Yes,"October 15, 2014 at 04:19 PM",15.11.2014,9/1/2015
Mathematics Education Full-time Faculty - Anticipated for Fall 2015,0601305,Mathematics,0,Filled,"April 15, 2015 at 09:24 AM",13,2,Will be discussed during the formal interview process and is based on your education and experience.,1.0,Yes,"October 17, 2014 at 04:00 PM",15.11.2014,8/1/2015
Full-time History Faculty - Anticipated for Fall 2015,0601307,History/Geography/Poli Science,0,Filled,"May 15, 2015 at 12:33 PM",21,2,Will be discussed during the formal interview process and is based on your education and experience.,1.0,Yes,"October 22, 2014 at 03:52 PM",06.12.2014,8/1/2015
Course Support Specialist,0601310,Curriculum Development,0,Filled,"January 15, 2015 at 09:17 AM",18,7,Available Upon Applicant Request,1.0,No,"October 28, 2014 at 03:47 PM",28.11.2014,January 2015
Pathway Manager,0601312,Pathway,0,Filled,"December 29, 2014 at 09:27 AM",80,9,General information available to applicants.,1,No,"November 03, 2014 at 11:55 AM",17.11.2014,01/06/2015
Medical Assistant,0601317,Student Health Center,0,Filled,"January 15, 2015 at 09:18 AM",6,2,Available to applicant inquiry,1.0,No,"November 03, 2014 at 01:49 PM",22.11.2014,01/02/2015
Office Assistant - Library,0601314,McKay Library,0,Filled,"December 18, 2014 at 08:18 PM",24,3, General information available to applicants. ,1.0,No,"November 03, 2014 at 01:56 PM",20.11.2014,12/16/2014
Accounting Supervisor,0601316,University Services,0,Filled,"December 16, 2014 at 09:52 AM",11,3,General information available to applicants,1.0,No,"November 06, 2014 at 04:36 PM",29.11.2014,01/02/2015
Financial Aid Systems & Operations Analyst,0601322,Student Financial Aid ,4,Filled,"January 15, 2015 at 12:25 PM",16,7,,1,No,"November 10, 2014 at 02:23 PM",11.12.2014,End of December 2014 or Early January 2015
English Faculty Full-time Temporary (5 positions) - Anticipated for Fall 2015,0601323,English,0,Filled,"April 15, 2015 at 08:45 AM",18,1,Will be discussed during the formal interview process and is based on your education and experience.,1.0,Yes,"November 18, 2014 at 03:51 PM",06.12.2014,8/1/2015
Adjunct Faculty - Humanities & Philosophy (Fall 2016),0601130,Humanities & Philosophy,0,Filled,"November 13, 2017 at 01:29 PM",14,6,Dependent on education and experience.,,No,"January 27, 2014 at 06:20 PM",20.07.2016,Fall Semester 2016
Mechanical Engineering (Civil Engineering) Full-time Faculty - Anticipated for Fall 2015,0601300,Mechanical and Civil Engineering,0,Filled,"May 14, 2015 at 10:53 AM",13,4,Will be discussed during the formal interview process and is based on your education and experience.,1.0,Yes,"July 29, 2014 at 11:02 AM",03.01.2015,08/1/2015
Vehicle Services Technician (Fleet Technician),0601358,Fleet Services,0,Filled,"February 03, 2015 at 03:52 PM",20,1,Available upon applicant inquiry.,1.0,No,"August 18, 2014 at 01:44 PM",02.01.2015,02/02/2015
Pathway Advisor,0601313,Pathway,1,Filled,"April 08, 2015 at 04:22 PM",52,11,General information available to applicants.,1,No,"November 03, 2014 at 01:35 PM",25.04.2015,05/16/2015
Healthcare Administration Full-time Online Faculty - Anticipated for Fall 2015,0601315,Human Performance & Recreation,0,Filled,"May 14, 2015 at 10:54 AM",14,3,Will be discussed during the formal interview process and is based on your education and experience.,1.0,Yes,"November 06, 2014 at 09:01 AM",03.01.2015,8/1/2015
Computer Information Technology Full-time Online Faculty - Anticipated for Fall 2015,0601320,Computer Information Technology,0,Filled,"May 15, 2015 at 12:33 PM",4,0,Will be discussed during the formal interview process and is based on your education and experience.,1.0,Yes,"November 10, 2014 at 02:07 PM",03.01.2015,8/1/2015
Family History Full-time Online Faculty - Anticipated for Fall 2015,0601337,Foundations & Interdisciplinary Studies,0,Filled,"May 14, 2015 at 10:54 AM",18,8,Will be discussed during the formal interview process and is based on your education and experience.,1.0,Yes,"November 20, 2014 at 08:32 AM",03.01.2015,8/1/2015
Music (Vocal / Choral) Temporary Faculty - Anticipated for Fall 2015,0601357,Music,0,Filled,"May 14, 2015 at 10:55 AM",13,3,Dependent on Education and Experience,1.0,Yes,"December 03, 2014 at 10:26 AM",24.01.2015,08/01/2015
AFY Counselor (Adventure for Youth),0601403,Student Activities,77,Closed,"February 01, 2015 at 12:03 AM",125,54,Available to applicants upon request.,,No,"December 04, 2014 at 10:50 AM",31.01.2015,5/30/2015
Video Director/Production Coordinator,0601410,A/V Production Services,0,Filled,"February 25, 2015 at 03:51 PM",13,1,Available upon applicant inquiry.,1.0,No,"December 17, 2014 at 04:08 PM",13.01.2015,February 2015
Office Assistant - Event Management,0601413,Events Management,0,Filled,"February 17, 2015 at 11:34 AM",55,18,General information available to applicants.,1,No,"January 06, 2015 at 04:20 PM",20.01.2015,02/01/2015
Accounting Specialist,0601414,Financial Services,0,Filled,"February 17, 2015 at 11:19 AM",28,5,General information available to applicants.,1.0,No,"January 07, 2015 at 10:50 AM",26.01.2015,02/01/2015
Database Administrator (2 Positions),0601423,Information Technology,0,Filled,"March 09, 2015 at 04:32 PM",17,5,General information available to applicants.,1.0,No,"January 23, 2015 at 01:01 PM",12.02.2015,"March 16, 2015"
Simulation Lab Technician,0601430,Nursing,0,Filled,"April 29, 2015 at 01:16 PM",9,2,General information available to applicants.,1.0,No,"February 04, 2015 at 11:35 AM",20.03.2015,April or May 2015
Technology Support Coordinator (TSC),0601434,Information Technology,0,Filled,"April 02, 2015 at 03:45 PM",21,2,,1,No,"February 26, 2015 at 08:35 AM",13.03.2015,4/8/2015
Project Manager,0601435,Information Technology,0,Filled,"March 27, 2015 at 12:36 PM",8,0,General information available to applicants.,1.0,No,"February 26, 2015 at 03:55 PM",12.03.2015,May 2015
Online Community Coordinator,0601437,Online Instruction,0,Filled,"April 28, 2015 at 11:56 AM",17,14,Salary information is available upon request.,1,No,"March 02, 2015 at 09:11 AM",25.03.2015,4/1/2015
Information Security Officer,0601444,Information Technology,0,Filled,"May 21, 2015 at 01:31 PM",15,2,General information available to applicants.,1.0,No,"March 03, 2015 at 01:00 PM",09.04.2015,June 2015
Salad Preparer,0601439,University Food Services,0,Filled,"April 06, 2015 at 09:51 AM",17,11,General information available to applicants.,1.0,,"March 04, 2015 at 08:33 AM",19.03.2015,April 2015
Cashier (2 Positions; Part-time),0601440,Accounting Services,0,Filled,"April 10, 2015 at 04:34 PM",43,34,,.5,,"March 05, 2015 at 01:59 PM",25.03.2015,4/1/2015
College Office Assistant,0601442,Education & Human Development,0,Filled,"April 09, 2015 at 10:55 AM",7,3,General information available to applicants.,.92,,"March 11, 2015 at 02:28 PM",25.03.2015,June 2015
Counselor,0601446,Counseling,0,Filled,"July 06, 2015 at 03:51 PM",30,3,General information available to applicants.,1,No,"March 17, 2015 at 02:47 PM",25.05.2015,September 2015
Pathway Communication Coordinator,0601455,Pathway,0,Filled,"May 13, 2015 at 02:11 PM",15,6,General information available to applicants.,1.0,,"March 17, 2015 at 03:33 PM",08.04.2015,May 2015
Office Assistant (Design & Construction Management),0601463,Design and Construction Management,0,Filled,"April 17, 2015 at 04:47 PM",22,12,,.83,,"March 20, 2015 at 03:09 PM",03.04.2015,4/27/2015
Testing Center Office Assistant,0601464,Testing Center,0,Filled,"May 05, 2015 at 12:41 PM",22,11,,1,,"March 23, 2015 at 09:40 AM",13.04.2015,5/25/2015
Business Intelligence Analyst,0601477,Information Technology,0,Filled,"May 13, 2015 at 02:55 PM",8,1,General information available to applicants.,1.0,,"March 23, 2015 at 03:06 PM",23.04.2015,June or July 2015
