Official Title,Posting Number,Department,Active Applications,Workflow State,Last Status Update,All Submitted Applications,Incomplete Applications,Pay Rate,FTE,Accept References?,Created Date,Closing Date,Anticipated Start Date
Online Adjunct Faculty--B301 Financial Management,0600119,Continuing Education,0,Filled,"July 30, 2009 at 11:02 AM",30,1,,,,"January 27, 2014 at 06:16 PM",25.06.2009,
Online Adjunct Faculty--ACCTG 201 Financial Accounting,0600118,Continuing Education,0,Filled,"July 30, 2009 at 10:54 AM",24,0,,,,"January 27, 2014 at 06:16 PM",25.06.2009,
Full-time Faculty - Mathematics (Applied),0600062,Academic Office,0,Filled,"September 22, 2009 at 02:32 PM",10,0,Dependent on Education and Experience,,,"January 27, 2014 at 06:16 PM",16.01.2009,2009-08-24
Catering Assistant,0600036,University Food Services,0,Filled,"August 28, 2008 at 04:01 PM",12,0,$12.44/hr minimum,1.0,No,"January 27, 2014 at 06:16 PM",14.08.2008,2008-08-18
Office Assistant I,0600115,Continuing Education,0,Filled,"May 29, 2009 at 09:53 AM",46,1,Pay scale starts at $12.22/hr,.50,,"January 27, 2014 at 06:16 PM",06.05.2009,2009-05-20
Online Adjunct Faculty--COMM 102 Public Speaking,0600123,Continuing Education,0,Filled,"July 30, 2009 at 11:11 AM",48,0,,,,"January 27, 2014 at 06:16 PM",25.06.2009,
Technology Support Specialist,0600040,Information Technology,0,Filled,"September 26, 2008 at 08:29 AM",18,1,"Pay scale starts at $38,270/yr minimum",1,No,"January 27, 2014 at 06:16 PM",07.09.2008,2008-10-01
Online Adjunct Faculty--PSYCH 111 Intro to Psychology,0600129,Continuing Education,0,Filled,"July 30, 2009 at 11:15 AM",38,0,,,,"January 27, 2014 at 06:16 PM",25.06.2009,
Online Adjunct Faculty--FDREL 121 Book of Mormon I,0600136,Online Learning Administration,0,Filled,"April 20, 2011 at 01:21 PM",57,0,,,,"January 27, 2014 at 06:16 PM",25.06.2009,2010-01-05
Online Adjunct Faculty--FDSCI 101 Science Foundations,0600139,Online Learning Administration,0,Filled,"July 30, 2009 at 10:12 AM",16,2,,,,"January 27, 2014 at 06:16 PM",25.06.2009,2010-01-05
Online Adjunct Faculty--FDREL 122 Book of Mormon II,0600137,Online Learning Administration,0,Filled,"April 20, 2011 at 01:22 PM",43,0,,,,"January 27, 2014 at 06:16 PM",25.06.2009,2010-01-05
Online Adjunct Faculty--ART 110 Drawing I,0600142,Online Learning Administration,0,Filled,"July 30, 2009 at 10:10 AM",10,0,,,,"January 27, 2014 at 06:16 PM",25.06.2009,2010-01-05
Online Adjunct Faculty-Test,0600135,Online Learning Administration,0,Filled,"June 16, 2009 at 03:38 PM",0,0,,,,"January 27, 2014 at 06:16 PM",25.06.2009,2010-01-05
Office Assistant I,0600054,Online Instruction,0,Filled,"December 08, 2008 at 09:48 AM",52,2,Pay scale begins at $12.44/hr,1,,"January 27, 2014 at 06:16 PM",05.11.2008,2008-12-01
Custodian,0600042,Custodial Services,0,Filled,"October 21, 2008 at 10:07 AM",22,1,"Payscale starts at $23,600/yr minimum",1,,"January 27, 2014 at 06:16 PM",23.09.2008,2008-10-15
Office Assistant I,,Human Resources,0,Filled,"August 19, 2009 at 10:22 AM",4,0,Pay scale minimum begins at $12.22/hr; employees should contact Beth in HR for specific information,1,No,"January 27, 2014 at 06:16 PM",03.08.2009,2009-08-17
General Advising Manager,,Online Instruction,0,Filled,"September 01, 2009 at 08:23 AM",25,0,"Pay scale starts at $56,000/yr; employees should consult with HR for more specific information",1,,"January 27, 2014 at 06:16 PM",03.08.2009,2009-09-16
